chi,gamma,raw_k,k,empirical_goal_selection_rate,goal_selection_rate
0.1,1.3,-2.7720674010220203,-0.026113645968953318,0.11875,0.3815295480880649
0.2,1.3,33.260309236738365,0.3133213643744278,0.12468749999999999,0.38593279258400925
0.3,1.3,66.9402492640058,0.6305957675160617,0.13203125,0.3913789107763615
0.4,1.3,98.89131993798786,0.9315837404642513,0.14078125,0.3978679026651217
0.5,1.3,129.43942539636154,1.2193553908462413,0.1578125,0.41049826187717264
0.6,1.3,158.77799635392319,1.4957328897982212,0.1825,0.4288064889918888
0.7,1.3,187.02919903111103,1.761867077097287,0.228125,0.46264194669756664
0.8,1.3,214.2688598999417,2.0184722592009905,0.27734375,0.4991425260718424
0.9,1.3,240.5374757550654,2.265929927179131,0.30640625,0.5206952491309386
1.0,1.3,265.84355317494186,2.504320215366907,0.2840625,0.504125144843569
0.0,1.4,-3.433426764969763,-0.03234383513463382,0.1603125,0.4123522595596755
0.1,1.4,34.77349899188596,0.3275760327620734,0.16859375000000001,0.4184936268829664
0.2,1.4,70.80587562964634,0.6670110431054544,0.1765625,0.4244032444959444
0.3,1.4,104.48581565691377,0.9842854462470884,0.1840625,0.42996523754345306
0.4,1.4,136.43688633089585,1.2852734191952782,0.19453125,0.4377288528389339
0.5,1.4,166.98499178926951,1.573045069577268,0.21203124999999998,0.45070683661645417
0.6,1.4,196.3235627468312,1.849422568529248,0.24078125,0.4720278099652375
0.7,1.4,224.574765424019,2.115556755828314,0.29296875,0.5107300115874855
0.8,1.4,251.8144262928497,2.3721619379320176,0.365,0.5641483198146002
0.9,1.4,278.08304214797334,2.6196196059101577,0.43828125,0.6184936268829664
1.0,1.4,303.38911956784983,2.8580098940979335,0.47859375000000004,0.6483893395133256
0.0,1.5,35.408661789457646,0.33355944298590917,0.20984375000000002,0.44908458864426415
0.1,1.5,70.5976086490709,0.6650491102189148,0.2209375,0.4573117033603708
0.2,1.5,103.56085628636802,0.9755720716988387,0.2290625,0.4633371958285052
0.3,1.5,134.38212782721786,1.2659170225589769,0.23859375,0.4704055619930475
0.4,1.5,163.61852145428787,1.5413319826370722,0.24953124999999998,0.4785168018539977
0.5,1.5,191.56820962840192,1.8046258194508393,0.26765625,0.4919582850521437
0.6,1.5,218.4087000627028,2.0574707050319034,0.29671875000000003,0.5135110081112398
0.7,1.5,244.25222798521517,2.3009239264465178,0.3490625,0.5523290845886443
0.8,1.5,269.1684953034934,2.5356420950514487,0.42390625000000004,0.6078331402085747
0.9,1.5,293.19475161154156,2.7619761123832003,0.50078125,0.6648435689455388
1.0,1.5,316.3388545922271,2.98,0.57515625,0.72
0.0,1.6,26.764375034046793,0.25212785733915094,0.12375,0.3852375434530707
0.1,1.6,39.99659934728919,0.3767790909168022,0.12859375,0.38882966396292007
0.2,1.6,52.58141605547985,0.4953315647782589,0.13296875,0.3920741599073001
0.3,1.6,64.35847077263675,0.606274696004953,0.13796875,0.39578215527230587
0.4,1.6,75.52829818998039,0.7114975771669623,0.14234375,0.39902665121668596
0.5,1.6,86.2072677236441,0.8120964405324484,0.14984375,0.40458864426419466
0.6,1.6,96.46342089050157,0.9087122561161287,0.1609375,0.41281575898030126
0.7,1.6,106.3395606633635,1.0017482398275388,0.1896875,0.43413673232908456
0.8,1.6,115.86221534666257,1.0914542956732898,0.22546875000000002,0.4606720741599073
0.9,1.6,125.04554485004026,1.1779638139407873,0.25406249999999997,0.48187717265353414
1.0,1.6,133.8925248941909,1.2613048267466695,0.28109375000000003,0.5019235225955967
0.0,1.7,1.459163217705926,0.013745723377448504,0.0428125,0.3252143684820394
0.1,1.7,2.1329976570547764,0.020093431223353168,0.04421875,0.32625724217844726
0.2,1.7,3.216991697538848,0.03030495659795983,0.04609375,0.32764774044032446
0.3,1.7,4.182088312907473,0.0393964351566268,0.0484375,0.32938586326767094
0.4,1.7,5.0671459884034435,0.04773392463883978,0.049375,0.3300811123986095
0.5,1.7,5.898081608075763,0.05556156930112894,0.049375,0.3300811123986095
0.6,1.7,6.686594272646232,0.06298957792640178,0.050624999999999996,0.33100811123986096
0.7,1.7,7.439148483480106,0.07007884791562191,0.052500000000000005,0.3323986095017381
0.8,1.7,8.159512745630014,0.07686487963459582,0.05437499999999999,0.3337891077636153
0.9,1.7,8.849716202425736,0.0833667881778968,0.05500000000000001,0.33425260718424105
1.0,1.7,9.510381575073612,0.0895904397524987,0.055781250000000004,0.3348319814600232
0.0,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.1,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.2,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.3,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.4,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.5,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.6,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.7,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.8,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.9,1.8,0.0,0.0,0.0359375,0.3201158748551564
1.0,1.8,0.0,0.0,0.0359375,0.3201158748551564
0.0,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.1,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.2,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.3,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.4,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.5,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.6,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.7,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.8,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.9,1.9,0.0,0.0,0.0359375,0.3201158748551564
1.0,1.9,0.0,0.0,0.0359375,0.3201158748551564
0.0,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.1,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.2,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.3,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.4,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.5,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.6,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.7,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.8,2.0,0.0,0.0,0.0359375,0.3201158748551564
0.9,2.0,0.0,0.0,0.0359375,0.3201158748551564
1.0,2.0,0.0,0.0,0.0359375,0.3201158748551564
