task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_9,0.40821,crp_16,node_16,price_setting,0.064665,16625.852595,11.584823,10.290099,1.294724
task_9,0.40821,crp_18,node_18,price_setting,0.063976,16979.414703,11.580377,10.256768,1.323609
task_9,0.40821,crp_19,node_19,price_setting,0.064465,17156.859014,11.880921,10.507948,1.372973
task_9,0.40821,crp_20,node_20,price_setting,0.064145,17334.73017,11.885147,10.496717,1.38843
task_9,0.40821,crp_23,node_23,price_setting,0.061854,17870.968139,11.393279,10.019503,1.373776
task_9,0.40821,crp_25,node_25,price_setting,0.060852,18230.648084,11.249256,9.864869,1.384387
task_9,0.40821,crp_29,node_29,price_setting,0.057831,18955.24385,10.563591,9.211485,1.352106
task_10,0.680172,crp_3,node_3,price_setting,0.075289,14370.945468,37.686195,34.10796,3.578234
task_10,0.680172,crp_5,node_5,price_setting,0.075927,14713.162457,39.24058,35.411393,3.829187
task_10,0.680172,crp_8,node_8,price_setting,0.073077,15229.672845,37.626315,33.807274,3.819041
task_10,0.680172,crp_11,node_11,price_setting,0.068945,15750.090353,34.63634,30.986314,3.650026
task_10,0.680172,crp_16,node_16,price_setting,0.065653,16626.284597,33.154007,29.447939,3.706068
task_10,0.680172,crp_18,node_18,price_setting,0.064909,16979.8338,33.096208,29.312668,3.783539
task_10,0.680172,crp_19,node_19,price_setting,0.065333,17157.281704,33.880364,29.964372,3.915992
task_10,0.680172,crp_20,node_20,price_setting,0.064986,17335.146815,33.86928,29.911931,3.957349
task_10,0.680172,crp_23,node_23,price_setting,0.062683,17871.35191,32.486002,28.5683,3.917703
task_10,0.680172,crp_25,node_25,price_setting,0.061653,18231.016722,32.059266,28.113333,3.945933
task_10,0.680172,crp_29,node_29,price_setting,0.05863,18955.572929,30.145256,26.286303,3.858953
task_11,0.274468,crp_3,node_3,price_setting,0.074209,14370.176556,5.961553,5.395803,0.56575
task_11,0.274468,crp_5,node_5,price_setting,0.074664,14712.384954,6.178524,5.575904,0.60262
task_11,0.274468,crp_8,node_8,price_setting,0.071949,15228.960458,5.938862,5.336322,0.60254
task_11,0.274468,crp_11,node_11,price_setting,0.068086,15749.463697,5.500053,4.920645,0.579407
task_11,0.274468,crp_16,node_16,price_setting,0.064867,16625.726203,5.269988,4.681048,0.58894
task_11,0.274468,crp_18,node_18,price_setting,0.064096,16979.291571,5.254919,4.654329,0.600591
task_11,0.274468,crp_19,node_19,price_setting,0.064426,17156.733886,5.364697,4.744781,0.619916
task_11,0.274468,crp_20,node_20,price_setting,0.064065,17334.606569,5.3597,4.73361,0.62609
